Platform,Image URL
2600,https://commons.wikimedia.org/wiki/File:Atari-2600-Console.jpg
3DO,https://en.wikipedia.org/wiki/File:3DO-FZ1-Console-Set.jpg
3DS,https://nintendo.fandom.com/wiki/Nintendo_3DS/gallery
DC,https://commons.wikimedia.org/wiki/File:Dreamcast-Console-Set.jpg
DS,https://www.shutterstock.com/search/nintendo-ds
GB,https://www.shutterstock.com/search/nintendo-game-boy
GBA,https://www.shutterstock.com/search/gameboy-advance
GC,https://nintendo.fandom.com/wiki/Nintendo_GameCube/gallery
GEN,Sega Genesis on Shutterstock
GG,Sega Game Gear on Wikimedia Commons
N64,Nintendo 64 on Unsplash
NES,NES Console on Wikimedia Commons
NG,Neo Geo AES Console on Wikimedia Commons
PC,Gaming Console Images on Unsplash
PCFX,https://commons.wikimedia.org/wiki/File:PC-FX-Console-Set.png
PS,https://www.pexels.com/search/playstation%20console/
PS2,https://www.shutterstock.com/search/playstation-2
PS3,https://pixabay.com/photos/playstation-3-game-console-ps3-sony-1200184/
PS4,https://www.gettyimages.in/photos/playstation-4-console
PSP,https://www.sony.com/en/SonyInfo/design/gallery/PSP/
PSV,https://www.shutterstock.com/search/sony-playstation-vita
SAT,https://commons.wikimedia.org/wiki/File:Sega-Saturn-Console-Set-Mk2.jpg
SCD,https://en.wikipedia.org/wiki/File:Sega-CD-Model1-Set.jpg
SNES,https://www.gettyimages.com/photos/super-nintendo-entertainment-system
TG16,https://commons.wikimedia.org/wiki/File:TurboGrafx16-Console-Set.png
Wii,https://www.shutterstock.com/search/nintendo-wii-console
WiiU,https://en.wikipedia.org/wiki/File:Wii_U_Console_and_Gamepad.png
WS,https://commons.wikimedia.org/wiki/Category:WonderSwan
X360,https://www.shutterstock.com/search/xbox-360-console
XB,https://unsplash.com/s/photos/xbox
XOne,https://www.shutterstock.com/search/xbox-one-console
